framework,browser,action,board,min,max,mean,median,standardabweichung
Leptos,chromium,task-create,Board 1 (Leer),3.2,46.8,11.8,10.1,7.68
Leptos,chromium,task-create,Board 2 (10 Tasks),2.1,15.0,10.08,10.85,3.03
Leptos,chromium,task-create,Board 3 (100 Tasks),3.7,16.9,10.52,10.45,3.27
Leptos,chromium,task-create,Board 4 (1000 Tasks),5.7,58.4,16.22,13.9,10.33
Leptos,chromium,task-edit,Board 2 (10 Tasks),2.3,16.0,9.48,9.9,3.46
Leptos,chromium,task-edit,Board 3 (100 Tasks),2.8,16.3,8.78,9.55,3.14
Leptos,chromium,task-edit,Board 4 (1000 Tasks),4.9,33.0,11.92,10.4,6.63
Leptos,chromium,task-delete,Board 2 (10 Tasks),2.8,46.8,12.62,11.4,7.37
Leptos,chromium,task-delete,Board 3 (100 Tasks),5.8,22.7,12.54,12.5,3.4
Leptos,chromium,task-delete,Board 4 (1000 Tasks),19.5,96.0,34.88,30.8,15.13
Leptos,chromium,task-move-within-column,Board 2 (10 Tasks),5.0,30.5,11.0,9.7,4.73
Leptos,chromium,task-move-within-column,Board 3 (100 Tasks),5.8,32.3,12.98,11.75,5.63
Leptos,chromium,task-move-within-column,Board 4 (1000 Tasks),20.5,97.1,43.32,38.1,17.2
Leptos,chromium,task-move-between-columns,Board 2 (10 Tasks),5.0,15.7,11.29,11.45,2.5
Leptos,chromium,task-move-between-columns,Board 3 (100 Tasks),5.1,25.2,12.04,11.15,4.16
Leptos,chromium,task-move-between-columns,Board 4 (1000 Tasks),19.9,70.0,41.39,38.75,14.19
Leptos,chromium,board-switch,Board 1 (Leer),5.1,37.7,12.12,10.8,6.74
Leptos,chromium,board-switch,Board 2 (10 Tasks),10.0,91.9,29.84,17.35,22.86
Leptos,chromium,board-switch,Board 3 (100 Tasks),26.8,224.6,75.78,54.35,48.27
Leptos,chromium,board-switch,Board 4 (1000 Tasks),246.1,611.5,370.22,357.3,84.12
Leptos,chromium,initial-load-fcp,Initial Load,60.0,404.0,174.0,144.0,97.72
Leptos,chromium,initial-load-lcp,Initial Load,60.0,404.0,174.0,144.0,97.72
Leptos,firefox,task-create,Board 1 (Leer),6.0,35.0,17.35,16.0,7.24
Leptos,firefox,task-create,Board 2 (10 Tasks),5.0,35.0,19.82,19.5,8.18
Leptos,firefox,task-create,Board 3 (100 Tasks),6.0,53.0,17.48,13.5,11.61
Leptos,firefox,task-create,Board 4 (1000 Tasks),7.0,56.0,21.8,16.5,13.32
Leptos,firefox,task-edit,Board 2 (10 Tasks),3.0,43.0,14.65,12.5,9.06
Leptos,firefox,task-edit,Board 3 (100 Tasks),4.0,31.0,10.48,8.0,5.87
Leptos,firefox,task-edit,Board 4 (1000 Tasks),4.0,51.0,14.98,10.5,9.9
Leptos,firefox,task-delete,Board 2 (10 Tasks),1.0,19.0,8.72,8.0,4.44
